Uuid,Void/Retire,Service Name,Short Name,Concept,Service Type,Service Status
859cfd14-9c62-42cd-8c68-57155a8a2c5a,,Consultation,Consultation,Consultation,Consultation Services,Enabled
7f8be9f2-d7a5-42cf-b17b-b2752993fe52,,Malaria rapid test,Malaria RDT,Malaria rapid diagnostic test,Laboratory Services,Enabled
41db74de-152f-4cb4-9e70-9aab41ebaadf,,HIV test,HIV,Human immunodeficiency virus antibody test,Laboratory Services,Enabled
9b5defd7-bd48-49e3-9eab-d42401b1a49c,,Blood glucose,BG,Blood glucose,Laboratory Services,Enabled
9f4e7795-d731-4593-b01b-1035d54a8010,,Full blood count,FBC,Complete blood count,Laboratory Services,Enabled
7970b708-e802-4186-b009-ee468af9a6d5,,Urinalysis,UA,Urinalysis,Laboratory Services,Enabled
b3473e1c-8afe-4143-aba7-237b2636b91f,,Stool microscopy,Stool,Stool microscopy,Laboratory Services,Enabled
e740ae3a-8172-4d15-a818-ec2e3f3ae55c,,TB test,TB,Tuberculosis screening test,Laboratory Services,Enabled
b9e97960-1729-4e6c-b915-9592bffee30c,,Hepatitis B test,Hep B,Hepatitis B surface antigen test,Laboratory Services,Enabled
5dca9f23-0710-43f6-9234-e52b5e4f20d3,,Blood grouping,BG,Blood group typing,Laboratory Services,Enabled
1d983fc6-7820-41d9-be29-8b9d603f947a,,Hemoglobin,Hb,Hemoglobin,Laboratory Services,Enabled
3f0aba9f-acb9-466d-ab4e-a8f33d8a60b9,,Widal test,Widal,Widal test,Laboratory Services,Enabled
03ce3fdb-fbe4-4b61-9cd2-83a1dd49a386,,Urea and creatinine,U/C,Urea and creatinine,Laboratory Services,Enabled
9cfe358a-087b-4234-888b-b39383acc906,,Liver function test,LFT,Liver function tests,Laboratory Services,Enabled
b5e73530-54ff-4d35-b5e5-acc5ce33f676,,Lipid profile,Lipids,Lipid profile,Laboratory Services,Enabled
7333327b-2352-4678-99a4-c7f01bd73660,,Blood culture,BC,Blood culture,Laboratory Services,Enabled
72c29c9d-d8d7-43bc-920c-0b87ecbc31ed,,Paracetamol 500mg tablets,Paracetamol,Paracetamol,Pharmacy Services,Enabled
7c87266c-ad12-4f4e-ab3f-f05425641e70,,Amoxicillin 250mg capsules,Amoxicillin,Amoxicillin,Pharmacy Services,Enabled
78af1903-750f-459f-a93a-b2cff889a3e5,,Artemether-Lumefantrine (Coartem),Coartem,Artemether / Lumefantrine,Pharmacy Services,Enabled
72726df5-5fdd-4411-a737-166f00d4a8a6,,Metronidazole 200mg tablets,Metronidazole,Metronidazole,Pharmacy Services,Enabled
544f2d40-152b-4258-848e-dff3367e2bbd,,Chlorpheniramine 4mg tablets,Chlorpheniramine,Chlorpheniramine,Pharmacy Services,Enabled
c0408d20-d4b6-4d4e-b245-e6e37f2d22f8,,Ibuprofen 200mg tablets,Ibuprofen,Ibuprofen,Pharmacy Services,Enabled
ae35e690-120a-48f5-95d5-559d2018ecce,,Ciprofloxacin 500mg tablets,Ciprofloxacin,Ciprofloxacin,Pharmacy Services,Enabled
f3fb4de4-43a4-46f8-8331-07578fb1d9b7,,Cotrimoxazole 480mg tablets,Cotrimoxazole,Co-trimoxazole,Pharmacy Services,Enabled
28da976b-b187-44a3-aec4-95779b75c16e,,Omeprazole 20mg capsules,Omeprazole,Omeprazole,Pharmacy Services,Enabled
90a7b9b0-1987-4df6-adc1-9d627de6a62f,,Metformin 500mg tablets,Metformin,Metformin,Pharmacy Services,Enabled
03400b23-6a12-4a81-a3c2-18c656bd429a,,Aspirin 100mg tablets,Aspirin,Aspirin,Pharmacy Services,Enabled
7ca66cbd-6a5b-47ff-ba94-354d57b547c2,,Oral rehydration salts,ORS,Oral rehydration salts,Pharmacy Services,Enabled
9a2d553c-ce92-4252-a99f-72298ceba770,,Vitamin C 100mg tablets,Vitamin C,Vitamin C,Pharmacy Services,Enabled
292ecce5-8b52-48b7-b707-ab556d16d875,,Zinc 20mg tablets,Zinc,Zinc,Pharmacy Services,Enabled
98d7620f-f9db-4c41-a381-d275bd4ef83f,,Albendazole 400mg tablets,Albendazole,Albendazole,Pharmacy Services,Enabled
