Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_version:1,_order:600
3fe177ab-a1bc-4349-ba2c-584b52e2d320,,Laboratory Services,Laboratory Services,,Misc,N/A,,,,
c7919810-d76c-4f5e-a779-b4807bf6e56b,,Pharmacy Services,Pharmacy Services,,Misc,N/A,,,,
e7fb9026-e937-42ad-a953-d141b540bde6,,Consultation Services,Consultation Services,,Misc,N/A,,,,
f9b6473f-3ae6-4496-a382-6a22e0ca96af,,Consultation,Consultation,,Misc,N/A,,,,
adad185a-bf26-4dc9-b94f-f759effc637e,,Malaria RDT,Malaria rapid diagnostic test,,Test,N/A,,,,
1161aee6-d5bc-4067-9a1a-7977e50ac051,,HIV test,Human immunodeficiency virus antibody test,,Test,N/A,,,,
dc14c64a-c335-47cd-adf9-45def4e64860,,Blood glucose,Blood glucose,,Test,N/A,,,,
02c5df69-fb74-49f2-85da-d24643925ac8,,FBC,Complete blood count,,Test,N/A,,,,
e1e0d1d3-e7bf-4a89-9660-08ce61710c3e,,Urinalysis,Urinalysis,,Test,N/A,,,,
ce6d5664-5b44-4020-88a1-2a55116d7b2d,,Stool microscopy,Stool microscopy,,Test,N/A,,,,
427f754d-4ac9-401f-baf8-c14b17662da4,,TB test,Tuberculosis screening test,,Test,N/A,,,,
570f6395-970c-44b1-8787-9bb9f966ce1b,,Hep B test,Hepatitis B surface antigen test,,Test,N/A,,,,
4d427181-f7d9-4e6f-8da8-b311e86484d0,,Blood grouping,Blood group typing,,Test,N/A,,,,
c92a6441-4f58-46dc-bead-0f4765920d28,,Hb,Hemoglobin,,Test,N/A,,,,
52ab2df1-1220-4950-9a40-fdc7d551a8e0,,Widal test,Widal test,,Test,N/A,,,,
c5b0461e-7a2d-4b48-a50b-f8255e07d9a8,,U/C,Urea and creatinine,,Test,N/A,,,,
34b32de7-bde1-4966-b07d-a97a8f209cda,,LFT,Liver function tests,,Test,N/A,,,,
7076fb90-eaea-49ad-be6b-aa532ccec01c,,Lipids,Lipid profile,,Test,N/A,,,,
1bf853a4-d7f7-4e63-8811-cc7a4edd68cb,,BC,Blood culture,,Test,N/A,,,,
23fa6a85-660d-4d91-a1ce-8bfa137afe02,,Paracetamol,Paracetamol,,Drug,N/A,,,,
fa5237ea-cd49-4293-a50b-fe0931e74434,,Amoxicillin,Amoxicillin,,Drug,N/A,,,,
1eddd2b6-ab3c-4104-b0b6-16626e6e6d87,,Coartem,Artemether / Lumefantrine,,Drug,N/A,,,,
20329862-07ad-4be3-9fa5-eb064db423fb,,Metronidazole,Metronidazole,,Drug,N/A,,,,
4bd24e5c-ea2e-4c53-a782-2bab4e9d7961,,Chlorpheniramine,Chlorpheniramine,,Drug,N/A,,,,
c24ae6c6-34e6-4f0d-a128-1187c4616565,,Ibuprofen,Ibuprofen,,Drug,N/A,,,,
2d2bc957-6cd2-430d-8610-5944a5e36ff2,,Ciprofloxacin,Ciprofloxacin,,Drug,N/A,,,,
47f5acd9-f7d7-4414-bda7-6876cadc7ae9,,Cotrimoxazole,Co-trimoxazole,,Drug,N/A,,,,
72076ad9-50d1-47fc-b39c-49312c666e37,,Omeprazole,Omeprazole,,Drug,N/A,,,,
9c8f54bb-afbc-4f9f-aeff-5dc977b51534,,Metformin,Metformin,,Drug,N/A,,,,
1a906049-f3a4-4ea7-b1d9-389ba0aa301e,,Aspirin,Aspirin,,Drug,N/A,,,,
8e7cd2f7-90ee-4f19-9840-a05b80a134d4,,ORS,Oral rehydration salts,,Drug,N/A,,,,
79a0fb34-8e98-4458-a316-e299fcfbc4e8,,Vitamin C,Vitamin C,,Drug,N/A,,,,
1d5615e6-a453-4c39-9313-37d1ce34f040,,Zinc,Zinc,,Drug,N/A,,,,
5cd34c92-2e36-4307-8746-b4cd505c4f1c,,Albendazole,Albendazole,,Drug,N/A,,,,
